workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(6.828435556639435, 54.381082914538084)","(9.667124787439725, 47.235383246350324)","(11.968400127717867, 41.85803646593707)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(8.266478751084128, 55.92493984651964)"
bert-base-cased_batch2-train,bert-base-cased_batch2-inf,"(None, None)","(6.97707532393564, 73.66372211408893)","(9.734563359556285, 62.408828565992266)","(12.037666245995535, 54.00065854461639)","(14.561724628838721, 44.304367402071136)","(None, None)","(None, None)","(None, None)","(None, None)","(13.488125632255889, 55.181695827725434)"
vit_h_14_batch8-train,wav2vec2-base-960h_batch8-inf,"(1.1048197762739953, 60.78801572317312)","(2.254727882528677, 54.63903185422173)","(3.1840162384828163, 48.67168913560666)","(None, None)","(5.504017044697945, 36.00135646658784)","(6.417889021187478, 29.09284825502163)","(7.386799114066904, 21.85889659317299)","(8.242474005416032, 14.856784081152535)","(None, None)","(None, None)"
vit_h_14_batch16-train,whisper-large-v2_batch8-inf,"(None, 3.522677234698371)","(None, None)","(3.934103761986722, None)","(None, None)","(None, None)","(7.399186089530152, None)","(8.410539457257377, None)","(None, None)","(None, None)","(11.07375914573858, None)"
vit_h_14_batch16-train,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(3.290826820238585, 76.58183516226944)","(4.3028354282373575, 64.16432326690304)","(5.381182223918991, 54.21188915211283)","(None, None)","(None, None)","(8.850140862831415, 21.430496533061824)","(None, None)","(6.072557157119166, 53.46518514493739)"
vit_h_14_batch16-train,vit-base-patch16-224_batch2-inf,"(None, 68.78232909268839)","(2.652080225426819, 62.0076879450501)","(3.856350927934442, 62.45239908606245)","(4.990642545227698, 61.473105516336595)","(None, None)","(7.143494954906688, 51.13282061941384)","(None, None)","(None, None)","(None, None)","(None, None)"
vit_h_14_batch8-train,bert-base-cased_batch16-inf,"(None, None)","(2.1538668641044625, 91.18498783736824)","(None, None)","(4.260193316319354, 64.28431436597634)","(5.317152508444889, 53.603529988560226)","(None, None)","(7.339894229354384, 32.24247388900266)","(8.217037920008217, 21.069479499278682)","(None, None)","(4.259196690931802, 67.8322461676332)"
vit_h_14_batch8-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(5.762521102982555, 63.882622173891875)","(6.5963307909975075, 56.80473372781064)","(7.61331716526731, 49.42426259150897)","(None, None)","(None, None)","(8.699279032354168, 48.957050636217765)"
albert-base-v2_batch8-train,wav2vec2-base-960h_batch2-inf,"(4.01981193022755, 51.268498942917546)","(7.872724290634737, 46.59354735409495)","(None, None)","(14.738580776316626, 34.429720776147654)","(17.64878909697029, 28.829007331087777)","(21.003957835338376, 23.903400689995074)","(None, None)","(26.2922516900676, 12.919552477357485)","(None, None)","(23.401472916236493, 21.396272195875152)"
vit_h_14_batch16-train,vit-base-patch16-224_batch16-inf,"(1.281708945260347, 82.40084578103901)","(2.5864019915295335, 78.65314482689715)","(None, None)","(4.792897796900957, 70.80855963228481)","(None, None)","(6.9024359846996, 60.495212332662184)","(None, None)","(None, None)","(None, None)","(None, None)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, 56.82827206535251)","(None, None)","(None, 45.07646900992756)","(None, 38.55156271513149)","(None, None)","(None, None)","(None, 17.010631644777988)","(None, None)","(None, None)"
vit_h_14_batch8-train,bert-base-cased_batch2-inf,"(None, 85.97640891218873)","(None, None)","(None, None)","(None, None)","(5.50080220032088, 49.03328682479569)","(6.474587245063128, 39.84773629221674)","(None, None)","(None, None)","(None, None)","(8.463817181548878, 47.71834537607294)"
