workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-train,wav2vec2-base-960h_batch8-inf,"(3.685466574026523, 69.47371971063859)","(6.932839840351337, 66.11039794608472)","(10.03714728529607, 58.795827208768)","(12.406154475808, 61.4806082401922)","(14.626718939203203, 57.322536661379644)","(16.84572219061325, 53.11057828653931)","(18.51741234095932, 46.64802255409246)","(20.285019463326776, 38.05899143672693)","(21.870368755993375, 24.36197639490054)","(19.559565893178913, 67.45583443849567)"
bert-base-cased_batch2-train,bert-base-cased_batch2-inf,"(None, None)","(6.605892456070815, 70.97715119105494)","(9.344778876453331, 60.73842953718149)","(11.547742157876595, 52.371984575374405)","(13.884115746786721, 42.96012946888333)","(16.184591831155338, 34.218081678092226)","(18.09605488850772, 26.89756816507001)","(20.114423366455885, 18.789009716234474)","(22.197055492638732, 9.283545551369482)","(13.38529312097594, 52.98974684692859)"
bert-base-cased_batch16-train,whisper-large-v2_batch16-inf,"(3.8527250002866613, 23.511888626694553)","(7.590350454195937, 22.649434039020797)","(None, None)","(14.440278061306715, 19.03033074437693)","(None, None)","(21.053632430743736, 14.979094710052717)","(23.849792174286943, 11.958372094035761)","(26.93688550954353, 8.387724605756585)","(30.516629505606616, 4.738709621765859)","(25.21921658096612, 13.396152182889992)"
bert-base-cased_batch16-train,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(11.521307968141587, 9.11619385630489)","(None, None)","(17.924956640183982, 7.645004583291583)","(21.073862954424655, 6.870445411643071)","(23.842348765185132, 5.744506118875025)","(27.098622008716358, 4.212851241359565)","(30.478254114228363, 2.260696744541817)","(26.91667891256429, 5.132785919223404)"
bert-base-cased_batch16-train,whisper-large-v2_batch2-inf,"(4.001136969045552, 1.6064282082554815)","(7.818859238846777, 1.538686768190116)","(11.692894638790545, 1.5480783538065443)","(14.891166268454343, 1.41622999575131)","(None, None)","(21.373735705365643, 1.2020871968376938)","(24.100334434627438, 1.0868498553856576)","(27.202425152256588, 0.8610046001051596)","(30.555624321428194, 0.5373174815981804)","(29.19471523141812, 0.7451058122593778)"
bert-base-cased_batch16-train,bert-base-cased_batch16-inf,"(None, None)","(7.0091752050427125, 85.26792232442692)","(10.422254578894934, 71.0786551042142)","(13.412816691505217, 60.12250990888969)","(None, None)","(19.90921677561822, 40.050405904691694)","(None, None)","(None, None)","(30.257639304973036, 9.981007885252591)","(None, None)"
bert-base-cased_batch16-train,resnet-50_batch8-inf,"(4.084932556061444, 87.21299234646257)","(None, None)","(None, None)","(15.364670859941421, 82.53250423968345)","(None, None)","(21.772192427759546, 78.97494844315223)","(None, None)","(None, None)","(30.672579453067257, 52.73613870326892)","(None, None)"
bert-base-cased_batch16-train,resnet-50_batch2-inf,"(None, None)","(8.050314465408805, 61.396131202691336)","(12.069399044505909, 61.96286472148541)","(15.391192817443352, 65.14221974344674)","(18.6046511627907, 65.48553487328998)","(None, None)","(24.40419447092469, 63.10784525610547)","(27.371695178849144, 60.076123855570415)","(30.659731727347385, 46.3344969850841)","(31.760435571687836, 29.490481240216127)"
bert-base-cased_batch16-train,resnet-50_batch16-inf,"(None, None)","(7.984695999334608, 87.91705086468076)","(12.004092304194613, 87.71896885150485)","(None, None)","(18.700475435816166, 84.01064518449255)","(None, None)","(24.426633357621178, 77.67119416136057)","(27.494442780344, 71.4919663351186)","(30.698020217524252, 56.26949620012285)","(31.161115859382665, 64.9990261276051)"
bert-base-cased_batch16-train,bert-base-cased_batch8-inf,"(3.5379444542720684, 88.90242045973513)","(None, None)","(10.67174845164364, 69.48038428363225)","(None, None)","(16.97352601428605, 48.24552345153762)","(20.500838499368772, 40.68198046011041)","(23.421774931381517, 29.967543713358396)","(26.720016276152048, 19.820293740825903)","(30.41774144919768, 9.92231203462615)","(20.896542024151582, 43.47826086956522)"
