workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
wav2vec2-base-960h_batch8-inf,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(59.77980791754509, 59.68318855390904)"
wav2vec2-base-960h_batch8-inf,vit-base-patch16-224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(61.62490371108795, 30.795190887998316)"
wav2vec2-base-960h_batch8-inf,vit-base-patch16-224_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(56.28430791433652, 64.34995799071665)"
wav2vec2-base-960h_batch8-inf,wav2vec2-base-960h_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(53.82806375751241, 20.1300498063088)"
wav2vec2-base-960h_batch8-inf,wav2vec2-base-960h_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, 52.631578947368425)"
wav2vec2-base-960h_batch8-inf,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(40.43358848097768, 39.446261246759406)"
wav2vec2-base-960h_batch8-inf,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(55.35159559446485, 29.918032786885245)"
whisper-large-v2_batch8-inf,bert-base-cased_batch16-inf,"(None, None)","(0.7822048398924469, 92.8347176409808)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(2.485012269748082, 58.367897656289045)"
whisper-large-v2_batch8-inf,vit-base-patch16-224_batch2-inf,"(None, 63.026116986833586)","(None, 63.81118881118881)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, 66.51480637813212)"
whisper-large-v2_batch2-inf,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(0.9450833370493301, 3.131957944585332)"
